 nds-w "nas-daß" nas-w nas-2 ns-w ns-ob xa nrs-2 "ns-daß" "nds-daß" nds-ob xd nrs-w x nir xp npr ndi ni ns-2 nds-2 nad na "xs-daß" nai nd xr n nar nap "nrs-daß" nrs-ob np ndp nr ndr nas-ob 
hasten 0.0 0.0 0.0 0.04773 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00971 0.0 0.0 0.0 -0.07343 0.0 0.0 0.0 0.0 0.84245 0.0 0.0 0.0 0.0 0.11697 0.00267 -0.00915 0.0 0.0 
bestehen 0.0 0.0267 0.0 -0.00072 -0.0021 -0.00027 0.0544 0.0 0.0402 -0.00012 0.0 0.00844 0.0 -0.00111 0.0 -0.00109 0.0 -0.00161 0.03292 -0.00993 0.0 -0.01576 -0.08052 0.0 -0.00053 -0.00188 0.0 0.29075 0.0 -0.022 0.0 0.0 0.59186 -0.00206 0.0 0.0 0.0 
drehen 0.0 0.0 0.00129 -0.00042 0.0 0.0 0.0 0.00052 0.0 0.0 0.0 0.0 0.0 0.0 -0.00235 0.0 0.58188 -0.00133 0.0 -0.00813 0.0 0.00736 0.06596 0.0 -0.005 -0.01026 0.02954 -0.04679 0.05008 -0.01404 0.0 0.00156 -0.02984 -0.00196 0.15362 0.06165 0.0 
gleiten 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01011 0.0 -0.01342 -0.07366 0.0 0.0 -0.0132 0.0 0.45793 0.0 -0.02409 0.0 0.0 0.47929 0.30442 0.0 0.0 0.0 
bekanntgeben 0.0 -0.00029 7e-05 -0.00123 0.00472 0.00303 0.0 0.0 0.02003 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00597 0.00207 -0.00025 0.03713 0.69295 0.0 -0.00394 -0.01012 0.0 -0.04578 0.0 0.04859 0.0 0.0 -0.00913 -0.00258 0.0 0.0 0.0 
laufen 0.0 -0.0002 0.0 -0.00048 -0.00199 0.0 -5e-05 0.0 -0.00102 0.0 0.0 0.0 0.0 0.03683 0.0 -0.00111 -0.00171 -0.00162 -0.00956 -0.00841 -0.00033 -0.02011 -0.09101 0.0 -0.00451 -0.00044 -0.00025 0.37066 0.0 -0.02655 0.0 0.0 0.44175 0.00457 -0.0025 0.0 7e-05 
feststellen 0.0 -0.00028 -0.00043 0.00388 0.00455 0.00451 -0.00201 0.0 0.16795 0.00302 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00814 0.15809 0.00257 -0.0181 0.11729 0.0 -0.00398 -0.00893 0.0 0.05009 0.0 0.09748 0.0 0.0 -0.03043 -0.00263 0.0 0.0 0.0 
schließen 0.0 0.0 1e-05 0.02346 -0.00169 0.0 -0.00107 0.00026 -0.00027 0.0 0.0 0.0 0.0 -0.00137 -0.00089 0.0 -0.00498 -0.00159 -0.00424 -0.00619 -0.00028 0.00153 0.20425 0.0 -0.00445 -0.00543 0.0 0.01005 -0.00154 0.12665 0.0 0.0 -0.01533 0.00041 0.00875 -0.00063 0.0 
treiben 0.0 0.00145 -0.00037 1e-05 -0.00224 0.0 -0.00262 0.0 0.0 0.0 0.0 0.00212 0.0 0.0 0.0 0.0 -0.00533 0.0 -0.00522 -0.00264 0.0 0.04786 0.33906 0.0 -0.00123 -0.0125 0.0 -0.04799 -0.00172 0.24839 0.0 0.0 -0.02799 -0.0025 -0.00945 0.0 0.00137 
fließen 0.0 0.0 0.0 0.0 -0.00224 0.0 0.00075 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00129 -0.00789 -0.01054 0.0 -0.01936 -0.0914 0.0 -0.00261 0.00552 0.0 0.47543 0.0 -0.02887 0.0 0.0 0.51606 0.0065 0.0 0.0 0.0 
stützen 0.0 0.0 0.0 -0.00119 -0.00213 0.0 -0.00279 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00223 0.0 1.10849 -0.00153 0.0 0.0 0.0 0.01748 0.08091 0.0 -0.00348 -0.01211 0.0 -0.0258 -0.0008 -0.01441 0.0 0.0 -0.01351 -0.00268 0.17237 0.01977 0.0 
öffnen 0.0 -0.00036 -0.00043 0.01046 -0.00165 0.0 0.0 0.01218 0.0 0.0 0.0 0.0 0.0 -0.00164 -0.00226 0.0 0.01648 -0.00158 -0.00819 -0.00793 -9e-05 0.09567 0.20798 0.0 -0.00435 -0.01326 0.0 -0.0343 -2e-05 0.04528 0.0 0.0 -0.02445 -0.00224 0.09115 0.04175 0.0 
setzen 0.0 -0.00034 -0.0003 -0.00115 -0.00182 0.0 -0.00355 -0.00013 -0.00099 -4e-05 0.0 0.0 -0.00012 0.0 -0.00221 0.0 0.05056 -0.00113 -0.00603 -0.00585 -0.0003 0.0959 0.00974 0.0 -0.00522 -0.01203 0.0 -0.03626 0.03237 0.16935 0.0 0.0 0.11396 -0.0026 0.00324 0.00429 0.0 
schenken 0.0 0.0 0.00057 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00228 0.0 -0.00405 -0.0016 -0.0095 0.0 0.0 1.74433 -0.07142 0.0 -0.0053 0.00517 0.0 -0.0506 0.34906 -0.01528 0.0 0.0 -0.01405 -0.00216 -0.0072 0.01106 0.0 
empfinden 0.0 0.02169 0.00245 -0.00113 0.00281 0.0 0.0 0.0 -0.00082 0.0 0.0 0.0 0.0 0.0 -0.00182 0.0 -0.00224 0.0 -0.01016 -0.00844 0.0 -0.01773 0.50898 0.0 -0.0034 -0.01324 0.0 -0.04709 0.0 0.2833 0.0 0.0 -0.01652 -0.0027 -0.00734 -0.00125 0.0 
nieseln 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.14267 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.27573 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
spenden 0.0 0.0 0.00047 0.0 -0.00208 0.0 -0.00357 0.0 -0.00264 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00992 -0.01056 0.0 0.24169 0.21119 0.0 -0.00478 0.00115 0.0 0.04115 -0.00265 -0.01197 0.0 0.0 -0.0228 0.00725 -0.00441 0.0 0.0 
stiften 0.0 0.0 0.0 0.0 0.00081 0.0 -0.00351 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00967 0.0 0.06919 0.60247 0.0 -0.00493 -0.01133 0.0 -0.05119 0.0 0.06348 0.0 0.0 -0.0156 0.00188 0.0 0.0 0.0 
ängstigen 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.11847 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.84819 0.0 0.00547 0.12082 0.0 0.0 0.16424 0.0 0.0 0.0 0.0 -0.052 0.0 -0.02869 0.0 0.0 0.0 0.0 0.00785 0.02411 0.0 
rennen 0.0 0.0 0.0 -0.00032 0.00795 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00115 -0.01009 0.00261 0.0 -0.01988 -0.07434 0.0 0.0 -0.00746 0.0 0.70738 0.0 -0.02552 0.0 0.0 0.28691 0.09037 0.0 0.0 0.0 
charakterisieren 0.0 0.0 0.0 0.07032 -0.00096 0.0 0.0 0.04303 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00665 0.0 0.0 -0.00984 0.0 0.00479 0.47165 0.0 -0.00358 -0.01325 0.0 -0.05297 -0.00265 0.17773 0.0 0.0 0.0 0.01931 -0.00803 0.0 0.0 
erhöhen 0.0 -0.00022 -0.00043 0.00056 -0.00156 0.0 -0.00121 0.00073 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.51403 -0.00162 -0.0056 -0.00441 0.0 0.00573 0.23097 0.0 -0.00522 -0.00992 0.0 -0.04666 -0.00216 0.01562 0.0 0.0 -0.02624 -0.00215 0.15418 0.03187 0.0 
vergrößern 0.0 0.0 0.0 -0.00032 0.0 0.0 -0.00292 0.03154 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08707 0.0 -0.01017 0.0 0.0 -0.00183 0.30174 0.0 -0.00422 -0.01257 0.0 -0.05207 -0.00314 0.02678 0.0 0.0 -0.01072 0.0062 0.33443 0.00592 0.0 
verhandeln 0.0 0.0 -0.00041 -0.00123 -0.00196 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00157 -0.01019 -0.01052 0.0 -0.01836 -0.08345 0.0 -0.003 0.001 0.0 0.19417 0.0 -0.0285 0.0 0.0 0.84644 -0.00269 0.0 0.0 0.0 
beginnen 0.0 0.0 0.0 -0.00109 -0.0021 -0.00016 -0.00345 0.0 -0.00163 0.0 0.0 -0.00023 0.0 -0.0022 0.00739 0.00306 0.0 -0.00154 0.09943 -0.01037 -0.00029 -0.02065 -0.08903 0.0 -0.00525 3e-05 0.0 0.18161 0.0 -0.02876 0.0 0.0 0.70422 -0.00184 0.0 0.0 0.0 
herstellen 0.0 0.0 0.0 -0.00114 -0.00163 0.0 -0.00201 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00254 0.0 -0.00897 0.0 0.0 0.02469 0.58093 0.0 -0.00253 -0.01326 0.0 -0.05241 -0.00301 0.1743 0.0 0.0 -0.02552 -0.00013 -0.00947 0.0 0.0 
realisieren 0.0 0.0 0.00172 0.02378 0.02172 0.0 0.0 0.0 0.00126 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00495 -0.00148 -0.0084 0.0 0.0 0.00586 0.51317 0.0 0.0 -0.01325 0.0 -0.04778 0.0 0.1771 0.0 0.0 -0.01761 -0.00268 0.00052 -0.00164 0.0 
versprechen 0.0 0.0 0.00015 -0.00115 -0.00202 0.0 -0.00317 -0.0003 0.00684 0.01313 0.0 0.0 0.0 0.0 -0.00211 0.0 -0.00595 0.00989 0.16506 0.13341 0.01183 0.14646 0.03622 0.0 -0.0053 -0.01213 -0.0003 -0.05309 0.35378 -0.01418 0.00089 0.0 -0.02314 -0.00254 -0.00899 -0.00116 0.0 
dekorieren 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04486 0.26683 0.0 0.00443 0.01625 0.0 -0.01562 0.0 0.16363 0.0 0.0 -0.00879 0.0 0.0 0.0 0.0 
essen 0.0 0.0 0.00772 0.00449 0.00942 0.0 -0.00321 0.0 -0.00217 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00544 -0.00141 -0.00995 -0.00828 0.0 0.05936 0.21623 0.0 -0.00419 0.0201 0.0 0.15423 0.0 -0.02678 0.0 0.0 -0.0217 -0.00274 -0.0061 0.0 0.0 
schreien 0.0 0.0 0.0 0.0 0.0001 0.0 0.0 0.0 -0.00189 0.0 0.0 0.0 0.0 0.0 -0.00222 -0.00103 -0.00689 0.00022 -0.00956 0.11802 0.00136 -0.01562 -0.08787 0.0 -0.00043 -0.00927 0.0 0.75613 -0.00283 -0.02478 0.0 0.0 0.1145 -0.00273 0.0 0.0 0.0 
pochen 0.0 0.0 0.00852 0.0 0.0 0.0 0.0 0.0 0.04519 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00118 -0.00016 0.0 0.0 0.0 -0.06169 0.0 -0.0053 0.0015 0.0 0.45602 0.0 0.0 0.0 0.0 0.71574 0.0 0.0 0.0 0.0 
korrespondieren 0.0 0.0 0.0 0.0 0.01401 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01887 0.0 -0.00963 0.0 -0.0205 -0.08771 0.0 0.0 0.20332 0.0 0.16584 0.0 0.0 0.0 0.0 0.63626 0.0 0.0 0.0 0.0 
schleichen 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04424 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.27067 0.0 0.01096 0.0 0.0 -0.0207 -0.05521 0.0 0.00105 0.00287 0.0 0.59481 0.02414 -0.01927 0.0 0.0 0.0495 0.00467 0.03086 0.0038 0.0 
rotieren 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04449 0.0 0.0 -0.07323 0.0 0.0 0.0 0.0 0.70583 0.0 0.02429 0.0 0.0 0.30111 0.0 0.0 0.0 0.0 
nachdenken 0.0 0.0 0.0 0.0 0.02671 0.00247 0.0 0.0 -0.00225 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0328 -0.01018 0.0 -0.01267 -0.06498 0.0 -0.00284 -0.01218 0.0 0.76694 0.0 -0.0132 0.0 0.0 0.38445 -0.00229 0.0 0.0 0.0 
steigern 0.0 0.0 0.00243 0.0 0.0 0.0 -0.00272 0.00324 -0.00251 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.14375 0.0 -0.00895 -0.00411 0.0 0.04183 0.37331 0.0 -0.00326 -0.01093 0.0 -0.04322 -0.00299 0.09809 0.0 0.0 -0.00646 0.00012 0.10139 0.00483 0.0 
schicken 0.0 0.0 0.00267 -0.00032 -0.00128 0.0 -0.00286 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00131 0.0 -0.00611 -0.00115 -0.00614 -0.00208 0.0 0.144 0.29605 0.0 -0.00374 -0.01288 -0.00024 -0.05028 0.0352 0.27358 0.0 0.0 -0.02639 -0.00072 -0.00947 0.0 0.0 
beruhen 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00615 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00161 -0.00973 0.0 0.0 -0.00575 -0.03611 0.0 -0.00386 0.00323 0.0 0.35478 0.0 -0.02666 0.0 0.0 0.96878 0.0 0.0 0.0 0.0 
riechen 0.0 0.0 0.00503 0.0 -0.00166 0.0 0.0 0.0 -0.00289 0.0 0.0 0.0 0.0 0.43951 0.0 0.37257 0.0 0.0 -0.00922 -0.00939 0.0 -0.02054 -0.06121 0.0 -0.00467 -0.01263 0.0 0.33753 0.0 -0.02268 0.0 0.0 0.05032 -0.00264 -0.00937 0.0 0.0 
trinken 0.0 0.0 0.0043 -0.00105 -0.00128 0.0 0.0 0.0 -0.00238 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00215 -0.00125 -0.00812 0.00546 0.0 0.03173 0.33127 0.0 -0.00529 -0.0116 0.0 0.10863 -0.00239 -0.00946 0.0 0.0 -0.03035 -0.00244 0.0 0.0 0.0 
aufhören 0.0 0.0 0.0 0.0 0.01222 0.00046 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00222 0.0 0.0 -0.00473 0.00276 0.53913 0.00727 0.0 -0.00941 -0.04577 0.0 -0.00515 -0.01154 0.0 0.81271 0.0 -0.00544 0.0 0.0 -0.01711 -0.00272 -0.00899 0.0 0.0 
hervorbringen 0.0 0.0 0.0 0.0 0.00084 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00988 0.0 0.0 0.01572 0.99957 0.0 0.0 0.00375 0.0 -0.03157 0.0 -0.02886 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
beschreiben 0.0 0.0 0.01218 0.11952 0.06344 0.0 0.0 0.0 -0.00274 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00524 -0.00115 -0.00778 -0.01009 0.00148 0.07062 0.3885 0.0 -0.0053 -0.01141 0.0 -0.0489 -0.00241 0.1561 0.0 0.0 -0.01838 -0.00273 -0.00895 0.0 0.0 
fühlen -0.0 0.0 -0.00038 -0.00114 -0.00193 0.0 0.0 0.01185 -0.00293 0.0 0.0 0.0 0.00182 0.0 0.06185 0.0 0.68958 -0.00144 -0.00472 -0.00578 0.0 -0.0073 -0.06386 0.0 -0.00373 -0.00538 0.0 -0.02949 0.04121 -0.01762 0.0017 0.0 -0.00545 -0.00074 1.59981 0.1631 0.0 
fliegen 0.0 0.0 0.0 0.0 0.00058 0.0 -0.00357 0.0 0.0 0.0 0.0 0.0 0.0 -0.00148 0.0 0.0 -0.00447 -0.00126 -0.00825 0.00124 0.0 -0.01988 -0.05208 0.0 -0.0051 -0.00299 -0.00015 0.36847 -0.0017 -0.02247 0.0 0.0 0.29673 -0.00148 -0.00243 0.0 0.0 
fürchten 0.0 0.0 -0.00042 -0.001 -0.00203 0.0 0.0 -0.00026 0.29354 0.00028 0.0 0.0 0.0 0.0 -0.00239 0.0 0.03239 -0.00116 0.01354 0.20331 0.0 -0.00759 0.08356 0.0 -0.00528 -0.01078 0.0 -0.04029 -0.00117 -0.02618 0.00017 0.0 -0.00594 -0.00254 0.02333 0.00034 0.0 
kriechen 0.0 0.0 0.0 0.0 0.00294 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00109 0.0 0.0 0.0 0.0 -0.01006 -0.01036 0.0 -0.02012 -0.08466 0.0 0.0 0.00757 0.0 0.52102 0.0 -0.02171 0.0 0.0 0.29242 0.18343 0.0 0.0 0.0 
segeln 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01096 -0.00425 0.0 0.0 -0.01686 -0.07813 0.0 0.0 -0.01025 0.0 0.1852 0.0 -0.01913 0.0 0.0 0.96988 0.0 0.0 0.0 0.0 
wünschen 0.0 -0.00011 0.0 0.00786 0.0 0.0 0.0 0.05928 0.01218 0.0444 0.0 0.0 0.00178 0.0 0.0002 0.0 -0.00685 -0.00117 -0.01014 -0.00455 0.0 0.14156 -0.06512 0.0 -0.00396 -0.01319 0.0 -0.04897 1.61345 -0.02816 0.13674 0.0 -0.00952 -0.0027 -0.00868 0.05242 0.0 
vermitteln 0.00104 0.0 0.0 -0.00011 -0.00204 0.0 -0.00294 0.0 -0.00303 0.00399 0.0 0.0 0.0 0.0 -0.0017 0.0 -0.00683 0.0 -0.00707 -0.00607 0.0 0.25188 0.36184 0.0 -0.00462 -0.01321 0.0 -0.04222 -0.00175 0.0537 0.0 0.0 -0.02412 -0.00159 -0.00916 -0.00144 0.0 
eilen 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00161 0.0 0.0 0.00013 -0.01013 -0.00831 0.0 0.00559 -0.07225 0.0 -0.00525 -0.01239 0.0 0.32624 0.0 -0.02798 0.0 0.0 0.5487 0.21292 -0.0079 0.0 0.0 
lamentieren 0.0 0.0 0.0 0.0 0.10138 0.0 0.0 0.0 0.08575 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.06854 0.0 0.0 -0.07795 0.0 0.0 -0.00756 0.0 0.64271 0.0 0.0 0.0 0.0 0.08199 0.0 0.0 0.0 0.0 
registrieren 0.0 0.0 0.0 -0.00107 -0.00128 -6e-05 0.0 0.0 0.00018 0.0 0.0 0.0 0.0 -0.00146 0.0 0.0 0.0 0.0 -0.00703 -0.00719 0.0 0.09946 0.35536 0.0 -0.0053 -0.0125 0.0 -0.04197 0.0 0.39782 0.0 0.0 -0.02118 -0.0027 -0.00242 0.0 0.0 
interpretieren 0.0 0.00682 0.00608 0.00135 0.00691 0.0 0.0 0.0 0.0 0.0 0.0 0.00252 0.00427 -0.00222 0.0 0.0 0.0 -0.00153 -0.00566 -0.00548 0.0 0.0107 0.53456 0.0 -0.00277 -0.01192 0.0 -0.05328 0.0 0.15503 0.0 0.0 -0.01885 -0.00066 -0.00549 0.0 0.0 
bemerken 0.0 0.0 0.0 0.05576 0.00932 0.00541 -0.00247 0.0 0.17557 0.00145 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0072 0.15278 0.0 -0.01806 0.22819 0.0 0.0 -0.01127 0.0 -0.00574 0.0 0.02877 0.0 0.0 -0.03022 -0.00262 -0.00354 0.0 0.0 
existieren 0.0 0.0 0.0 -0.00088 -0.00222 0.0 0.05649 0.0 0.0 0.0 0.0 0.0 0.0 -0.0022 0.0 0.0 0.0 0.0 -0.00774 -0.00216 0.0 -0.00862 -0.07444 0.0 -0.00397 -0.01308 0.0 0.78102 0.0 -0.02714 0.0 0.0 0.32466 -0.00202 0.0 0.0 0.0 
benötigen 0.0 0.0 0.00071 0.00617 -0.00179 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00133 0.0 0.0 0.0 -0.00163 -0.00543 -0.00707 0.0 0.04772 0.46438 0.0 -0.00112 -0.01033 0.0 -0.04184 0.0 0.27192 0.0 0.0 -0.02574 -0.0025 0.0 0.0 0.0 
blitzen 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.12364 0.0 0.01038 -0.00658 0.0068 -0.01014 -0.01002 0.0 -0.00354 -0.07798 0.0 0.00362 0.00734 0.0 0.46605 0.0 0.02717 0.0 0.0 0.18046 0.0 0.0 0.0 0.0 
kriegen 0.0 0.00072 0.01205 0.02104 0.03037 0.0 0.0 0.00254 0.0 0.0 0.0 0.0 0.0 0.0 -0.00223 0.0 -0.00266 -0.00071 -0.00719 -0.00512 -0.00029 -0.00667 0.45177 0.0 -0.00031 -0.00578 0.0 -0.01306 -0.00224 0.033 0.0 0.0 -0.02755 -0.00137 -0.00947 0.0 0.0 
brauchen 7e-05 -0.00033 0.00235 0.01444 0.0052 0.0 -0.00359 0.0 -0.00122 0.0 0.0 -0.00026 -0.00012 -0.00176 0.03193 -0.00034 -0.00203 -0.00085 0.088 -0.00679 -0.00022 -0.00905 0.47883 0.0 0.04393 -0.01231 0.0 -0.04867 -0.00122 0.06755 0.0 0.0 -0.0144 -0.00255 -0.00761 -0.00063 0.0 
veranschaulichen 0.0 0.0 0.0 0.02601 0.05498 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00861 0.00433 0.0 0.0107 0.3173 0.0 0.0 -0.01249 0.0 -0.05325 0.0 0.29018 0.0 0.0 -0.02428 0.02237 0.0 0.0 0.0 
bilden 0.0 0.0 -0.0004 -0.00078 -0.00148 0.0 -0.00193 -0.00032 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.10755 -0.00087 -0.00696 -0.00615 0.0 0.0334 0.33902 0.0 -0.00472 0.04897 0.0 -0.04394 0.03646 0.03767 0.0 0.0 -0.00768 -0.00107 0.07657 0.01808 0.0 
fahren 0.0 -0.00032 -0.00029 -0.00108 -0.00171 0.0 -0.00222 0.0 -0.00214 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00553 -0.00147 -0.01017 -0.01029 -0.00033 -0.01244 -0.0491 0.0 -0.00303 0.00393 0.0 0.28845 -0.00058 -0.01723 0.0 0.0 0.35301 0.0001 -0.00278 0.0 0.0 
töten 0.0 0.0 -0.00026 0.00907 -0.00211 0.0 -0.00211 0.0 -0.0013 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00477 -0.00111 -0.0054 -0.00848 0.0 0.00011 0.2378 0.0 -0.00521 -0.01261 0.0 -0.05265 0.0 0.63189 0.0 0.0 -0.02389 -0.0021 -0.00945 0.0 0.0 
vernichten 0.0 0.0 0.00064 0.01413 -0.00091 0.0 -0.00332 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00583 0.0 -0.00963 -0.00882 0.0 0.01313 0.66194 0.0 -0.00442 -0.01263 0.0 -0.05249 -0.00263 0.03952 0.0 0.0 -0.02302 -0.00252 -0.00942 -0.00111 0.0 
reden 0.0 -0.00036 0.0005 0.0 -0.00065 0.0 0.0 0.0 -0.00127 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00683 -0.00163 -0.01018 0.016 0.0 -0.02061 -0.08971 0.0 -0.0035 0.00086 0.0 0.42846 -0.0029 -0.02489 0.0 0.0 0.52494 -0.00195 -0.00593 -0.00163 0.0 
demonstrieren 0.00081 -0.00023 0.0 -0.00121 0.04109 0.0 0.0 0.0 0.01628 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00857 -0.00998 0.0 -0.01282 -0.01008 0.0 -0.00442 0.02011 0.0 0.09233 0.0 -0.01109 0.0 0.0 0.39585 -0.00158 0.0 0.0 0.0 
ergeben 0.0 0.0 -0.00018 -0.00076 0.0 0.00132 0.0 0.00759 0.12083 0.0 0.0 -0.00026 0.0004 0.0 -0.00092 0.0 0.6787 0.0 -0.00245 -0.0096 0.0 -0.01659 0.04332 0.0 -0.00391 -0.01324 0.00019 -0.05128 0.04471 -0.01932 0.00581 0.00054 -0.00923 -0.0012 0.28902 0.04033 0.0 
gähnen 0.0 0.0 0.0 0.02832 0.01791 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03054 0.0 0.0 -0.08695 0.0 0.0 0.0 0.0 0.68907 0.0 0.0 0.0 0.0 0.29885 0.0 0.0 0.0 0.0 
legen 0.0 0.00625 0.0 -0.00079 -0.00152 0.0 0.0 0.00025 0.0 2e-05 0.0 0.0 0.0 0.0 -0.00079 0.0 0.04825 -0.00106 -0.00766 -0.00236 0.0 0.22413 0.06293 0.0 -0.00369 -0.0023 0.0 -0.05322 -0.00222 0.25607 0.0 0.0 -0.02373 0.05908 0.02624 0.00096 0.0 
regnen 0.0 0.0 0.00507 0.0 0.0 0.0 0.2054 0.0 0.0 0.0 0.0 0.07516 0.0 2.4586 0.0 0.15636 -0.00468 0.0 -0.00648 0.00578 0.0 -0.02031 -0.0768 0.0 0.0 -0.00897 0.0 -0.01553 0.0 -0.01592 0.0 0.0 -0.03013 0.0 0.0 0.0 0.0 
phantasieren 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03016 0.0 0.0 0.06559 0.0 0.02825 -0.07077 0.0 0.0 -0.00342 0.0 0.25047 0.06182 -0.02537 0.0 0.0 0.12752 0.0 0.01765 0.0 0.0 
liegen 0.0 -0.00037 0.0 -0.00022 -0.00177 -1e-05 -0.00315 0.0 0.00281 -0.00012 0.0 0.0 0.0 0.00291 -0.00101 0.00277 -0.00508 -0.00153 -0.00975 -0.00886 -0.00015 -0.02025 -0.07622 0.00104 -0.00355 0.01511 0.0 0.17 -0.00026 -0.02831 0.0 0.0 0.95007 0.01699 -0.00475 -0.00065 0.0 
eröffnen 0.0 -0.00037 0.0 -0.00108 0.0 0.0 0.0 0.0 -0.00115 0.00219 0.0 0.0 3e-05 0.0 -0.00232 0.0 -0.00629 -0.00133 -0.00432 -0.00507 0.0 0.09594 0.2853 0.0 -0.00515 -0.00733 0.0 -0.0532 -0.00249 0.31852 0.0 0.0 -0.02514 -0.00272 -0.00946 0.0036 0.0 
anordnen 0.0 0.00065 0.0 0.0 0.0 0.0 -0.00283 0.0 0.00666 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00115 0.01021 -0.00683 0.0 -0.0041 0.48414 0.0 -0.0008 -0.01056 0.0 -0.05318 0.0 0.21047 0.0 0.0 -0.00608 0.00378 -0.0043 0.0 0.0 
darstellen 0.0 -7e-05 0.00084 -0.00118 -0.00168 0.0 -0.00356 0.00062 -0.0028 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00857 0.0 -0.00744 -0.00191 0.0 0.00966 0.62765 0.0 -0.00483 -0.00872 0.0 -0.0395 0.00035 0.03761 0.0 0.0 -0.00652 -0.00217 0.09808 -0.00023 0.0 
