 nds-w "nas-daß" nas-w nas-2 ns-w ns-ob xa nrs-2 "ns-daß" "nds-daß" nds-ob xd nrs-w x nir xp npr ndi ni ns-2 nds-2 nad na "xs-daß" nai nd xr n nar nap "nrs-daß" nrs-ob np ndp nr ndr nas-ob 
exekutieren 0.0 0.0 0.0 0.0 0.01515 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05057 0.39067 0.0 0.00153 0.06576 0.0 -0.04819 0.00982 0.19363 0.0 0.0 0.0 0.0 -0.00769 0.0 0.0 
grinsen 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00172 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00085 -0.00947 0.36511 0.00807 -0.01396 -0.06147 0.0 0.0 0.00123 0.0 0.88964 0.0 0.0 0.0 0.0 -0.0024 -0.00093 0.0 0.00039 0.0 
ankündigen 0.0 0.0 -0.00036 -0.00122 -0.00084 0.0 -0.00097 0.0 0.04624 0.00029 0.0 0.0 0.0 0.0 0.0 0.0 -0.00658 -0.00138 0.05246 0.06975 0.0 0.01252 0.42695 0.0 -0.00477 -0.01285 -0.0003 -0.05089 -0.00309 0.0542 -0.00012 0.0 -0.01165 -0.00197 -0.00096 -0.00117 0.0 
bringen 0.00064 -0.00025 -0.00014 0.00117 -0.00224 0.0 -0.0036 -0.00028 -0.00148 -8e-05 0.0 -0.00025 0.0 -0.00038 -0.00134 -0.00031 -0.00671 -0.00148 -0.0076 -0.0062 -0.00027 0.08173 0.23022 0.0 -0.00347 -0.01157 0.0 -0.04839 0.002 0.44067 0.0 0.0 -0.02558 -0.00022 -0.00809 -0.00163 0.0 
grübeln 0.0 0.0 0.0 0.0 0.26754 0.0 0.0 0.0 0.0 0.0 0.14796 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00693 0.15972 0.0 0.0 -0.06682 0.0 0.0 -0.01294 0.0 0.47409 0.0 0.02201 0.0 0.0 0.12015 0.0 0.0 0.0 0.0 
schneien 0.0 0.0 0.0 0.0 0.0 0.0 0.02221 0.0 0.0 0.0 0.0 0.0 0.0 2.35552 0.0 0.22005 0.0 0.0 0.0 0.0267 0.0 -0.01864 -0.07001 0.0 0.0 0.07335 0.0 0.0144 0.0 0.0 0.0 0.0 -0.02979 0.0 0.0 0.0 0.0 
beenden 0.0 0.0 -0.00041 0.00519 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00096 -0.00763 -0.00776 -0.00028 -0.0011 0.55189 0.0 -0.00522 0.00203 0.0 -0.05122 0.0 0.20677 0.0 0.0 -0.02708 -0.00261 0.0 0.0 0.0 
basieren 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00309 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00647 0.0 0.0 -0.01056 -0.05693 0.0 0.0 -0.00745 0.0 0.30002 0.0 -0.01506 0.0 0.0 1.03263 0.0 0.0 0.0 0.0 
hören 0.0 0.0 0.00288 0.02057 0.01407 -0.00027 0.0 0.0 0.01791 0.0 0.0 0.0 0.0 0.0 -0.00238 0.0 0.0 -0.00163 0.01782 0.00219 -0.0001 -0.01422 0.2419 0.0 0.01714 -0.00672 0.0 0.00148 -0.00149 0.05701 0.0 0.0 -0.0199 -0.00274 -0.00888 0.0 0.0 
glauben 1e-05 0.00422 0.01198 -0.00049 0.00293 -0.00023 0.0 0.00585 0.97883 0.00514 0.0 -0.00024 -5e-05 0.0 -0.00085 0.0 -0.00516 -0.00163 0.02978 0.6169 0.02433 -0.02055 -0.09093 0.0 -0.00427 -0.00205 0.0 -0.04381 -0.00293 -0.01534 -0.0001 0.0 0.01838 -0.00262 -0.00788 -0.00081 7e-05 
sitzen 0.0 0.0 0.0 0.0 -0.00221 0.0 -0.00241 0.0 -0.00111 0.0 0.0 0.0 0.0 0.0 -0.00063 0.0 -0.00139 -0.0013 -0.00683 -0.01055 0.0 -0.0199 -0.07875 0.0 -0.00228 -0.00085 0.0 0.15764 0.0 -0.02866 0.0 0.0 1.05779 0.01727 -0.00151 0.0 0.0 
liefern 0.0 0.00037 0.00063 -0.00078 -0.00219 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00176 0.0 -0.00165 -0.00163 -0.00557 -0.00724 -0.00032 0.15869 0.42818 0.0 -0.00501 -0.00641 0.0 -0.05195 0.14329 0.04593 0.0 0.0 -0.02575 -0.00257 -0.00472 -0.00127 0.0007 
unterstützen 0.0 -0.00032 0.00138 -0.0012 -0.00138 0.0 0.0 -0.00032 -0.00106 0.0 0.0 0.0 -4e-05 0.0 0.0 0.0 -0.00479 -0.0008 -0.00486 -0.00966 0.0 0.05027 0.65611 0.0 -0.0029 -0.01226 0.0 -0.04848 -0.00112 0.07381 0.0 0.0 -0.00998 -0.00273 -0.00891 -0.00122 0.0 
rufen 0.0 0.0 -0.00043 0.00095 -0.00171 0.0 0.0 0.00128 -0.00199 0.0 0.0 0.0 0.0 -0.0022 0.0 0.0 -0.00251 -0.00142 -0.00862 0.07731 0.00661 -0.00195 0.01571 0.0 -0.00456 0.00477 0.0 0.22686 -0.00201 0.04863 0.0 0.0 0.0242 -0.00212 -0.00866 0.0 0.0 
zusagen 0.0 0.0 0.0 0.00119 0.0 0.0 0.0 0.0 0.00925 0.0058 0.0 0.0 0.0 0.0 0.00199 0.0 0.0 0.02453 0.17161 -0.0091 0.00209 0.32241 0.18646 0.0 -0.00497 -0.01042 0.0 -0.0501 -0.00172 -0.01707 0.00055 0.0 -0.02277 0.00159 -0.00364 0.0 0.0 
bedürfen 0.0029 0.00295 0.0 0.0 4e-05 0.0 -0.00311 0.0 0.0 0.00877 0.0 0.69879 0.0 0.00415 0.0 0.0 0.0 0.02852 -0.00903 -0.00325 3e-05 0.05348 -0.08673 0.0 -0.00501 1.19916 0.0 -0.04745 0.0 -0.0285 0.0 0.0 -0.01456 0.31336 0.0 0.0 0.0 
wollen 0.0 2e-05 0.00019 0.00857 -0.00225 -0.00027 -0.00357 -0.00021 0.04636 -0.00011 0.0 0.00074 0.0 -0.00118 0.02217 0.0 -0.0025 0.19396 0.52227 -0.01021 -0.00025 -0.00394 0.00786 0.0 0.2645 -0.01254 0.0 -0.04464 -0.00269 -0.028 0.0 0.0 -0.03043 -0.00272 -0.00469 -0.0013 -3e-05 
sehen 5e-05 0.00398 0.00166 0.01284 0.04268 0.0046 -0.0036 -0.00021 0.00836 -0.00011 0.0 0.00049 -0.0001 -0.00066 0.01407 0.0 0.00919 -0.00087 -0.00818 -0.01033 -0.00029 0.01523 0.23883 0.0 0.04568 -0.00158 0.0 -0.05233 -0.0029 0.13404 -0.0001 0.0 -0.02919 -0.00191 -0.00167 0.0035 0.0 
resultieren 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00688 0.0 0.0 -0.0204 -0.03371 0.0 -0.00528 0.00336 0.0 0.31522 0.0 -0.02695 0.0 0.0 0.90744 0.01753 0.0 0.0 0.0 
renovieren 0.0 0.0 0.0 0.00735 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01056 -0.01041 0.0 0.00346 0.53583 0.0 -0.00515 -0.00937 0.0 -0.04674 0.0 0.04271 0.0 0.0 -0.00846 0.0 0.0 0.0 0.0 
wissen 0.00025 0.00328 0.0127 0.0133 0.87009 0.07211 -0.00279 0.0 0.31183 0.00361 0.0002 -0.00024 0.0 -0.00222 0.00018 0.0 -0.0028 -0.00163 0.0135 0.03415 -0.00033 -0.02068 -0.00887 0.0 0.00073 -0.00849 0.0 -0.04314 0.0 -0.01005 0.0 0.0 -0.03043 -0.00187 -0.0035 -0.00128 0.00048 
erhalten 0.00264 -0.00036 0.00344 -0.00061 0.00068 0.0 -0.00047 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00318 -0.00158 -0.00518 -0.00282 -0.00023 0.0812 0.41463 0.0 -0.00119 0.0012 0.0 -0.0486 -0.00314 0.23788 0.0 0.0 -0.01451 0.00045 -0.00548 -0.00065 1e-05 
zustellen 0.0 0.0 0.0 0.00729 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01012 0.0 0.0 1.17656 0.1271 0.0 -0.0046 0.0 0.0 0.0 -0.00037 -0.01824 0.0 0.0 -0.02785 0.00076 0.0 0.0 0.0 
erwachsen 0.0 0.0 0.0 0.01406 -0.00038 0.0 0.00146 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01012 0.0 0.00694 0.09126 -0.04126 0.0 -0.00265 0.0104 0.0 0.08813 0.0 0.02083 0.0 0.0 0.22702 0.0398 -0.0086 0.0 0.0 
reparieren 0.0 0.0 0.02292 0.01005 0.0058 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01018 -0.00881 0.0 0.00809 0.54587 0.0 0.0 -0.01294 0.0 -0.03969 -0.00255 0.08408 0.0 0.0 -0.02181 0.00308 0.0 0.0 0.0 
senken 0.0 0.0005 0.0 -0.00123 0.0 0.0 0.0 0.00067 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02714 -0.0002 -0.00898 0.0 0.0 0.00712 0.69853 0.0 -0.00504 -0.01068 0.0 -0.0455 -0.00313 0.03534 0.0 0.0 -0.00575 -0.00241 0.01477 -0.00044 0.0 
helfen 0.00302 -0.00028 -0.00037 0.00013 -0.00202 0.0 -0.0036 0.00125 -0.00301 0.00012 0.0 -1e-05 0.00014 -0.00163 0.00414 0.0 -0.00652 0.05862 0.14397 -0.01038 0.00023 -0.00403 -0.09117 0.0 0.00679 0.39232 0.0 0.14005 -0.00313 -0.02094 0.0 0.0 -0.00434 0.07456 0.04336 0.0 0.0 
weinen 0.0 0.0 0.0 0.0 -0.00071 0.0 0.0 0.0 -0.00307 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00522 -0.00118 -0.01017 0.03661 0.0 -0.02011 -0.08554 0.0 -0.00427 -0.0131 0.00314 1.18436 0.0 -0.02234 0.0 0.0 -0.00108 0.0 -0.00606 0.0 0.0 
überschreiben 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01051 0.0 0.68484 0.18742 0.0 -0.00258 0.03773 0.0 -0.053 0.0 -0.02015 0.0 0.0 -0.03015 0.0 0.0 0.0 0.0 
vermachen 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.85234 -0.06862 0.0 0.0 -0.00209 0.0 -0.04907 0.25896 -0.02842 0.0 0.0 0.0 0.05312 0.0 0.0 0.0 
erlangen 0.0 0.0 0.0 0.0 -0.00087 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00719 0.57824 0.0 -0.00345 -0.01095 0.0 -0.04504 0.0 0.12595 0.0 0.0 -0.02849 0.0 0.0 0.0 0.0 
